age,portalName,portalAddress,oldOwner,hunter,dtg
79,"American Legion Post 490","1020 Castle Shannon Boulevard, Castle Shannon, PA 15234, USA","djpmart1985","Semiotiq","2016-06-18 19:48:23"
80,"Homestead Park Ten Commandments Marker","252-298 East 10th Avenue, Homestead, PA 15120, USA","Lipphil","Semiotiq","2016-06-19 17:55:05"
176,"Homestead Masonic Hall","328-398 East 9th Avenue, Homestead, PA 15120, USA","slipkid","Semiotiq","2016-06-19 18:03:33"
113,"Saint Matthews Episcopal Church","1000-1004 McClure Street, Munhall, PA 15120, USA","TheMehdi","Semiotiq","2016-06-19 18:07:46"
85,"Castle Shannon Historical Msm","1003 Castle Shannon Boulevard, Castle Shannon, PA 15234, United States","djpmart1985","Semiotiq","2016-06-19 22:00:39"
93,"Southside","2708-2766 South 18th Street, Pittsburgh, PA 15210, USA","HAC","Semiotiq","2016-06-20 05:22:46"
318,"Mt. Rise Baptist Church","575-599 South Ingot Avenue, Homestead, PA 15120, USA","slipkid","Semiotiq","2016-06-21 09:54:40"
64,"Court Time Complex","95 Enterprise Street, Elizabeth, PA 15037, USA","lizb00","Semiotiq","2016-06-21 12:14:07"
64,"Elizabeth Township Fire Depart","425 Scenery Drive, Elizabeth, PA 15037, United States","thegingerjesus","Semiotiq","2016-06-21 12:23:16"
68,"New Wine Harvest Church","5206-5224 East Willock Road, Pittsburgh, PA 15236, USA","Jasonjwhite3","Semiotiq","2016-06-22 10:42:07"
166,"P. J. McArdle","718 Hazelwood Avenue, Pittsburgh, PA 15217, USA","ksquigg2","Semiotiq","2016-06-22 14:39:50"
139,"Pittsburgh Engine 22","1817-1999 Saint Patrick Street, Pittsburgh, PA 15210, USA","ksquigg2","Semiotiq","2016-06-23 22:45:17"
92,"Michael F. Maloney Memorial","4351-4375 Tesla Street, Pittsburgh, PA 15217, USA","J1MB3AM","Semiotiq","2016-06-24 12:35:14"
92,"Tortorelli Family Cross","718 Hazelwood Avenue, Pittsburgh, PA 15217, USA","J1MB3AM","Semiotiq","2016-06-24 12:35:19"
92,"McHugh Memorial","718 Hazelwood Avenue, Pittsburgh, PA 15217, USA","J1MB3AM","Semiotiq","2016-06-24 12:37:21"
92,"McNally Memorial","718 Hazelwood Avenue, Pittsburgh, PA 15217, USA","J1MB3AM","Semiotiq","2016-06-24 12:37:52"
92,"Friday","718 Hazelwood Avenue, Pittsburgh, PA 15217, USA","J1MB3AM","Semiotiq","2016-06-24 12:39:09"
126,"St. Theresa Church","1-99 Saint Therese Court, Munhall, PA 15120, USA","patorobap","Semiotiq","2016-06-25 18:14:47"
138,"Munhall U.S. Post Office","3406 Main Street, Munhall, PA 15120, USA","Superbanite","Semiotiq","2016-06-25 18:22:06"
126,"Too Groovy Pop Culture Toys","3903 Main Street, Munhall, PA 15120, USA","MagusPrime","Semiotiq","2016-06-25 18:26:23"
78,"Trinity Lutheran Church","113 Margaret Street, Pittsburgh, PA 15210, USA","bocoroth","Semiotiq","2016-06-25 19:15:17"
88,"Statue at St. Theresa Court","3123 Main Street, Munhall, PA 15120, USA","SilverLight7","Semiotiq","2016-06-27 08:56:36"
127,"Munhall Veterans Memorial","Main St at Caroline, Munhall, PA 15120, USA","MagusPrime","Semiotiq","2016-06-27 10:37:29"
66,"Byzantine Church ","4775-4799 Woodhill Drive, Munhall, PA 15120, USA","slipkid","Semiotiq","2016-06-29 00:29:18"
116,"Walnut Grove Assembly of God","2-98 Walnut Drive, West Mifflin, PA 15122, USA","SilverLight7","Semiotiq","2016-06-29 04:15:36"
64,"Neon Ice Cream at Scoop","5384 Mifflin Road, Pittsburgh, PA 15207, USA","zoroden","Semiotiq","2016-06-29 07:26:59"
110,"Attention 2 Detail Graffiti","5012 Buttermilk Hollow Road, West Mifflin, PA 15122, USA","ZFirelord","Semiotiq","2016-06-29 19:55:50"
474,"McBride Field","U Way, Pittsburgh, PA 15207, USA","slipkid","Semiotiq","2016-06-29 22:36:12"
248,"Westwood","759 Commonwealth Avenue, West Mifflin, PA 15122, USA","slipkid","Semiotiq","2016-06-29 22:56:35"
113,"Mary S. Brown Ames Memorial United Methodist Church","3422 Beechwood Boulevard, Pittsburgh, PA 15217, USA","TheMehdi","Semiotiq","2016-07-05 08:08:32"
149,"Cape Hatteras National Seashore","North Carolina 12, Nags Head, NC 27959, USA","redlock","Semiotiq","2017-01-02 07:08:47"
61,"General James V. Hartinger","502-506 Mill St, Middleport, OH","AlmostHeathen","Semiotiq","2017-01-10 14:36:38"
193,"Vicco Post Office","301 Main Street, Vicco, KY 41773, United States","lindafeltner","Semiotiq","2017-01-11 14:22:54"
80,"Berlin Brethren Church","622 Main Street, Berlin, PA 15530, USA","devonsharpe","Semiotiq","2017-01-13 14:46:47"
80,"Berlin Alliance Church ","601-607 Broadway Street, Berlin, PA 15530, USA","devonsharpe","Semiotiq","2017-01-13 14:48:42"
72,"Sisters of the Order of Saint Basil the Great","Mount Saint Macrina Road, Uniontown, PA 15401, USA","SirJagoff","Semiotiq","2017-01-17 09:22:21"
184,"Krishna","Lafayette Drive, Farmington, PA 15437, USA","FooManchu937","Semiotiq","2017-01-17 20:10:31"
184,"Wooden Bear Sculpture","Lafayette Drive, Farmington, PA 15437, USA","FooManchu937","Semiotiq","2017-01-17 20:13:58"
184,"Skier Sculpture","Haines Road, Farmington, PA 15437, USA","FooManchu937","Semiotiq","2017-01-17 20:17:18"
184,"Gymnasts at the Lodge","Haines Road, Farmington, PA 15437, USA","FooManchu937","Semiotiq","2017-01-17 20:21:03"
80,"Clairton Stadium","754-798 Miller Avenue, Clairton, PA 15025, USA","canaglaucus","Semiotiq","2017-01-18 09:59:46"
110,"VFW Post 803","911 North State Street, Clairton, PA 15025, USA","BlueRose0427","Semiotiq","2017-01-18 10:08:57"
114,"Dravosburg United Methodist Church ","101-199 Railroad Street, Dravosburg, PA 15034, USA","Coryh23","Semiotiq","2017-01-18 10:46:20"
81,"Dravosburg AL Post 380 Cannon","51 Duquesne Avenue, Dravosburg, PA 15034, USA","canaglaucus","Semiotiq","2017-01-18 10:49:14"
81,"Kidsville","212-248 Mcclure Street, Dravosburg, PA 15034, USA","canaglaucus","Semiotiq","2017-01-18 10:50:00"
76,"First Christian Church ","40-42 Raymond Street, Dravosburg, PA 15034, USA","canaglaucus","Semiotiq","2017-01-18 10:57:10"
84,"Church of the Nazarene","1815 Worton Boulevard, West Mifflin, PA 15122, USA","Shadowdancer1","Semiotiq","2017-01-18 11:02:45"
164,"St. Hedwig Cemetery","203 Grant Ave Exd, West Mifflin, PA 15122, USA","slipkid","Semiotiq","2017-01-18 11:09:01"
137,"Jesus and Followers","2030-2032 Oregon Avenue, West Mifflin, PA 15122, USA","patorobap","Semiotiq","2017-01-18 11:10:27"
137,"Resurrected Christ","Ruxton Avenue, West Mifflin, PA 15122, USA","patorobap","Semiotiq","2017-01-18 11:14:51"
137,"Crucifix With Mary","Ruxton Avenue, West Mifflin, PA 15122, USA","patorobap","Semiotiq","2017-01-18 11:17:29"
86,"Holy Trinity Catholic Church","205-549 Grant Ave Exd, West Mifflin, PA 15122, USA","Shadowdancer1","Semiotiq","2017-01-18 11:19:49"
198,"Westwood","759 Commonwealth Avenue, West Mifflin, PA 15122, USA","slipkid","Semiotiq","2017-01-18 11:28:09"
91,"Byzantine Church ","4775-4799 Woodhill Drive, Munhall, PA 15120, USA","Superbanite","Semiotiq","2017-01-18 11:32:54"
67,"St. Peter and Paul Chapel ","1601-1691 Ridge Road Ext, Ambridge, PA 15003, USA","BigSilky","Semiotiq","2017-01-18 15:29:39"
67,"Economy V.F.D. No. 3","135-199 Tevebaugh Hollow Road, Freedom, PA 15042, USA","BigSilky","Semiotiq","2017-01-18 21:38:14"
260,"St. Matthew's Church","381 Friel Rd, Baden, PA","OGSKosh","Semiotiq","2017-01-18 22:11:07"
101,"C & G Performance Soccer Field ","2120 Big Sewickley Creek Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-01-18 22:24:42"
101,"Fifer's Fields Conservation Area","2428-2498 Magee Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-01-18 22:32:59"
111,"Acorn Park ","1356-1360 Magee Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-01-18 22:36:36"
114,"Little Hill United Methodist Church ","1047-1085 Magee Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-01-18 22:39:15"
119,"Rock Garden Cross ","751-1099 Magee Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-01-18 22:39:26"
63,"Ohio Township Community Park ","Creese Road, Sewickley, PA 15143, USA","BigSilky","Semiotiq","2017-01-18 22:47:09"
105,"Old Knoxville Incline Station","2-14 Brosville Street, Pittsburgh, PA 15203, USA","bocoroth","Semiotiq","2017-01-19 00:41:42"
104,"Arlington MS Oliver HS Time Capsule","824 East Warrington Avenue, Pittsburgh, PA 15210, USA","bocoroth","Semiotiq","2017-01-19 00:43:46"
158,"Old Saint Henry's RC Church","2414 Arlington Avenue, Pittsburgh, PA 15210, USA","lilred38","Semiotiq","2017-01-19 00:53:29"
91,"The Eye","1701-1723 Arlington Court, Pittsburgh, PA 15210, USA","rainbeam","Semiotiq","2017-01-19 00:59:11"
91,"Johno's Fence","Arlington Ave at S 18th, Mount Oliver, PA 15210, USA","rainbeam","Semiotiq","2017-01-19 00:59:21"
90,"Weeping Mary","2771-2799 South 18th Street, Pittsburgh, PA 15210, USA","rainbeam","Semiotiq","2017-01-19 01:01:03"
91,"Resurrection and the Life","S 18th St Opp MT Oliver St FS, Pittsburgh, PA 15210, USA","rainbeam","Semiotiq","2017-01-19 01:01:13"
101,"Southside","2708-2766 South 18th Street, Pittsburgh, PA 15210, USA","bocoroth","Semiotiq","2017-01-19 01:02:57"
66,"World War II Memorial","7404-7408 Noblestown Road, Noblestown, PA 15071, USA","OnceAMoose","Semiotiq","2017-01-19 18:39:18"
61,"McDonald United Methodist","230-298 East Lincoln Avenue, McDonald, PA 15057, USA","Marcus723","Semiotiq","2017-01-19 18:56:22"
61,"The Alliance Church","201-207 North McDonald Street, McDonald, PA 15057, USA","Marcus723","Semiotiq","2017-01-19 19:01:11"
61,"Baptist Church","143 North McDonald Street, McDonald, PA 15057, USA","Marcus723","Semiotiq","2017-01-19 19:02:37"
61,"McDonald Gazebo","303 West Lincoln Avenue, McDonald, PA 15057, USA","Marcus723","Semiotiq","2017-01-19 19:13:45"
61,"McDonald Oil Field","8131 Robinson Hwy, McDonald, PA","Marcus723","Semiotiq","2017-01-19 19:17:33"
